Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Experience Growth Total,Pre-Evolution Pokemon Id
1,Bulbasaur,Seed Pokémon,,,0.7,6.9,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Red,45,49,49,65,65,45,318,0,0,0,1,0,0,1,1059860,
2,Ivysaur,Seed Pokémon,,,1.0,13.0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Red,60,62,63,80,80,60,405,0,0,0,1,1,0,2,1059860,1.0
3,Venusaur,Seed Pokémon,,,2.0,100.0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Red,80,82,83,100,100,80,525,0,0,0,2,1,0,3,1059860,2.0
3,Venusaur,Seed Pokémon,Mega,,2.4,155.5,Grass,Poison,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",,,,,X,80,100,123,122,120,80,625,0,0,0,2,1,0,3,1059860,
3,Venusaur,Seed Pokémon,Gigantamax,,24.0,0.0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Sword,80,82,83,100,100,80,525,0,0,0,2,1,0,3,1059860,
4,Charmander,Lizard Pokémon,,,0.6,8.5,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Red,39,52,43,60,50,65,309,0,0,0,0,0,1,1,1059860,
5,Charmeleon,Flame Pokémon,,,1.1,19.0,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Red,58,64,58,80,65,80,405,0,0,0,1,0,1,2,1059860,5.0
6,Charizard,Flame Pokémon,,,1.7,90.5,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Red,78,84,78,109,85,100,534,0,0,0,3,0,0,3,1059860,6.0
6,Charizard,Flame Pokémon,Mega X,,1.7,110.5,Fire,Dragon,Tough Claws,Powers up moves that make direct contact.,,,,,X,78,130,111,130,85,100,634,0,0,0,3,0,0,3,1059860,
6,Charizard,Flame Pokémon,Mega Y,,1.7,100.5,Fire,Flying,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,,,,,X,78,104,78,159,115,100,634,0,0,0,3,0,0,3,1059860,
6,Charizard,Flame Pokémon,Gigantamax,,28.0,0.0,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Sword,78,84,78,109,85,100,534,0,0,0,3,0,0,3,1059860,
7,Squirtle,Tiny Turtle Pokémon,,,0.5,9.0,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,,,Rain Dish,The Pokémon gradually regains HP in rain.,Red,44,48,65,50,64,43,314,0,0,1,0,0,0,1,1059860,
8,Wartortle,Turtle Pokémon,,,1.0,22.5,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,,,Rain Dish,The Pokémon gradually regains HP in rain.,Red,59,63,80,65,80,58,405,0,0,1,0,1,0,2,1059860,10.0
9,Blastoise,Shellfish Pokémon,,,1.6,85.5,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,,,Rain Dish,The Pokémon gradually regains HP in rain.,Red,79,83,100,85,105,78,530,0,0,0,0,3,0,3,1059860,11.0
9,Blastoise,Shellfish Pokémon,Mega,,1.6,101.1,Water,,Mega Launcher,Powers up aura and pulse moves.,,,,,X,79,103,120,135,115,78,630,0,0,0,0,3,0,3,1059860,
